SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
m10xm11,bsyn,-0.0127213,0.269102,-0.445214,0.443963,-0.570861,0.564053,-1.24256,1.2349

m10xm11,syn,0.00396716,0.222419,-0.353209,0.376622,-0.54424,0.58895,-0.95696,1.06472

m10xm12,bsyn,-0.0850867,0.330832,-0.661399,0.428595,-0.845405,0.600399,-1.36467,1.4284

m10xm12,syn,-0.0240463,0.212753,-0.387281,0.318772,-0.585028,0.462567,-0.91348,0.816079

m10xm1,bsyn,0.0105981,0.267139,-0.439815,0.443822,-0.571296,0.549294,-1.5297,1.16362

m10xm1,syn,0.0154606,0.234695,-0.388677,0.392432,-0.482796,0.619176,-1.02538,1.0281

m10xm2,bsyn,0.00161778,0.255857,-0.420421,0.415489,-0.551749,0.554595,-1.23427,1.40657

m10xm2,syn,0.00613151,0.230397,-0.378841,0.380181,-0.568723,0.554931,-1.07399,1.09722

m10xm3,bsyn,-0.0478394,0.291776,-0.536477,0.438558,-0.676655,0.581208,-1.30539,1.29277

m10xm3,syn,-0.0323046,0.240225,-0.426612,0.370572,-0.572519,0.634181,-1.19292,1.11545

m10xm4,bsyn,0.00109031,0.271182,-0.437868,0.450445,-0.56228,0.561216,-1.51469,1.211

m10xm4,syn,0.0124923,0.215466,-0.336545,0.37214,-0.452982,0.603069,-1.06485,1.25084

m10xm5,bsyn,-0.26363,0.309458,-0.781225,0.218997,-0.920091,0.445426,-1.49202,1.45168

m10xm5,syn,-0.241346,0.271917,-0.701796,0.190636,-0.834295,0.434037,-1.35349,1.10743

m10xm6,bsyn,-0.0823457,0.264618,-0.509314,0.353642,-0.621445,0.488911,-1.47571,1.70256

m10xm6,syn,-0.0729909,0.231769,-0.448476,0.316293,-0.552452,0.605439,-1.06604,1.2305

m10xm7,bsyn,-0.0176541,0.276912,-0.461727,0.454316,-0.572042,0.610014,-1.24263,1.27857

m10xm7,syn,-0.00597714,0.213629,-0.352582,0.345036,-0.619296,0.504665,-1.07888,0.919445

m10xm8,bsyn,-0.0814727,0.281657,-0.54857,0.392826,-0.670922,0.549102,-1.28978,1.18202

m10xm8,syn,-0.067616,0.230745,-0.439822,0.322542,-0.568829,0.613204,-1.08678,1.07801

m10xm9,bsyn,-0.0407214,0.273659,-0.486314,0.42185,-0.594147,0.573104,-1.44644,1.10834

m10xm9,syn,-0.02978,0.233402,-0.407618,0.355855,-0.527269,0.657215,-1.17386,1.0211

m11xm10,bsyn,-0.0450217,0.281728,-0.53448,0.388726,-0.641988,0.577124,-1.277,1.35076

m11xm10,syn,-0.0299878,0.210397,-0.399247,0.289783,-0.688052,0.555495,-0.917187,0.854048

m11xm12,bsyn,-0.0674196,0.303594,-0.585598,0.396082,-0.720582,0.575626,-1.68802,1.02922

m11xm12,syn,-0.0531376,0.245774,-0.476056,0.320082,-0.703025,0.520409,-1.46511,0.896058

m11xm1,bsyn,-0.0089443,0.291365,-0.512309,0.432142,-0.653464,0.601416,-1.46483,1.23403

m11xm1,syn,-0.00745212,0.265406,-0.46836,0.404191,-0.618942,0.712256,-1.25914,1.14408

m11xm2,bsyn,-0.0567301,0.306263,-0.589657,0.400824,-0.725671,0.57913,-1.61765,1.1062

m11xm2,syn,-0.0439021,0.246651,-0.467423,0.329569,-0.575699,0.614246,-1.3526,0.878604

m11xm3,bsyn,-0.0690649,0.296669,-0.584335,0.395095,-0.741251,0.522928,-1.47059,1.21216

m11xm3,syn,-0.0554883,0.250111,-0.490411,0.333764,-0.617694,0.564283,-1.41541,1.04532

m11xm4,bsyn,-0.0250112,0.284923,-0.528078,0.421058,-0.670244,0.545633,-1.18841,1.20387

m11xm4,syn,-0.0180511,0.251352,-0.456892,0.372202,-0.614848,0.664001,-1.26564,1.24954

m11xm5,bsyn,-0.273882,0.334788,-0.841867,0.256209,-1.0004,0.469384,-1.6752,1.70308

m11xm5,syn,-0.241818,0.281246,-0.714032,0.220425,-0.888823,0.466016,-1.7039,0.952991

m11xm6,bsyn,-0.105943,0.321558,-0.669625,0.391802,-0.815324,0.523901,-1.57517,1.7551

m11xm6,syn,-0.0877664,0.261734,-0.540351,0.314201,-0.710044,0.640848,-1.44854,1.52171

m11xm7,bsyn,-0.0584791,0.293715,-0.539833,0.417422,-0.664812,0.565233,-1.40762,1.3069

m11xm7,syn,-0.0467499,0.23214,-0.433825,0.320819,-0.636601,0.506159,-1.1702,0.94587

m11xm8,bsyn,-0.086658,0.286079,-0.588217,0.340589,-0.755988,0.490818,-1.64927,1.31302

m11xm8,syn,-0.0755369,0.247652,-0.503807,0.298957,-0.651304,0.579979,-1.34009,0.968079

m11xm9,bsyn,-0.0670457,0.288518,-0.575855,0.373684,-0.719072,0.502205,-1.52364,1.16486

m11xm9,syn,-0.0549598,0.244958,-0.484783,0.318976,-0.646408,0.624728,-1.34785,1.09362

m12xm10,bsyn,-0.0166401,0.317583,-0.546765,0.517339,-0.763325,0.652658,-1.31001,1.34338

m12xm10,syn,0.000105588,0.235676,-0.380501,0.400254,-0.559006,0.551046,-0.87891,1.07363

m12xm11,bsyn,-0.00122982,0.283584,-0.445406,0.482823,-0.669868,0.614616,-1.11493,1.64765

m12xm11,syn,0.00591145,0.23132,-0.353771,0.399443,-0.585476,0.523519,-0.907859,1.42494

m12xm1,bsyn,0.0218108,0.279585,-0.458603,0.476426,-0.638489,0.597399,-1.26778,1.15428

m12xm1,syn,0.00611095,0.250665,-0.424393,0.406466,-0.575513,0.64666,-1.16809,1.08351

m12xm2,bsyn,-0.00500011,0.252775,-0.419713,0.413702,-0.538008,0.55015,-1.11941,1.18978

m12xm2,syn,0.000642176,0.232308,-0.38334,0.381854,-0.508538,0.602739,-1.03423,1.14526

m12xm3,bsyn,-0.0250942,0.294482,-0.512423,0.475298,-0.681895,0.613165,-1.29589,1.2252

m12xm3,syn,-0.00716139,0.245823,-0.405237,0.415399,-0.576975,0.701016,-1.15884,1.24378

m12xm4,bsyn,0.0170965,0.287081,-0.458221,0.493126,-0.631546,0.624859,-1.29855,1.53407

m12xm4,syn,0.0356793,0.237442,-0.346587,0.431203,-0.496479,0.672711,-1.21572,1.34871

m12xm5,bsyn,-0.222274,0.309632,-0.758537,0.286782,-0.879635,0.451002,-1.47168,1.41748

m12xm5,syn,-0.176948,0.238015,-0.570822,0.209375,-0.657638,0.407863,-1.09824,0.952536

m12xm6,bsyn,-0.0579342,0.278568,-0.511343,0.412666,-0.707205,0.549264,-1.37673,1.41272

m12xm6,syn,-0.0489576,0.260632,-0.459973,0.396134,-0.602362,0.673425,-1.40631,1.36881

m12xm7,bsyn,0.00175596,0.286223,-0.474947,0.458905,-0.613439,0.602916,-1.41739,1.30919

m12xm7,syn,0.0130493,0.252118,-0.406122,0.418227,-0.69567,0.59632,-1.35225,1.2321

m12xm8,bsyn,-0.0555748,0.287383,-0.534135,0.422439,-0.703674,0.572089,-1.26656,1.37315

m12xm8,syn,-0.0460828,0.264893,-0.486662,0.393868,-0.658875,0.696201,-1.17741,1.23862

m12xm9,bsyn,-0.039436,0.319653,-0.567348,0.487644,-0.739895,0.641754,-1.15134,1.45533

m12xm9,syn,-0.0161247,0.260866,-0.423137,0.4201,-0.569658,0.725337,-1.13455,1.45363

m1xm10,bsyn,-0.0741097,0.274,-0.535982,0.376433,-0.651828,0.501584,-1.24354,1.54031

m1xm10,syn,-0.0541502,0.211207,-0.401325,0.29967,-0.731132,0.395335,-0.972547,0.962564

m1xm11,bsyn,-0.0602525,0.288271,-0.518549,0.435411,-0.637732,0.578176,-1.27176,1.50605

m1xm11,syn,-0.0380067,0.234421,-0.410921,0.36045,-0.70081,0.469847,-0.994908,1.13364

m1xm12,bsyn,-0.0950036,0.290102,-0.580364,0.388555,-0.730564,0.556649,-1.34734,1.34217

m1xm12,syn,-0.0361103,0.222693,-0.401908,0.333127,-0.652714,0.45647,-0.940032,1.10802

m1xm2,bsyn,-0.0844288,0.287491,-0.562156,0.391208,-0.680978,0.548578,-1.37369,1.50537

m1xm2,syn,-0.064148,0.217042,-0.420783,0.294923,-0.655377,0.412237,-1.10421,1.29168

m1xm3,bsyn,-0.0741879,0.271388,-0.504139,0.375225,-0.633009,0.503835,-1.49981,1.62817

m1xm3,syn,-0.0646255,0.241531,-0.45734,0.330437,-0.606461,0.477138,-1.40969,1.1328

m1xm4,bsyn,-0.0341485,0.27791,-0.480755,0.427146,-0.61381,0.561208,-1.30121,1.53151

m1xm4,syn,-0.0246166,0.243467,-0.415752,0.385144,-0.652975,0.508008,-1.19934,1.45682

m1xm5,bsyn,-0.279569,0.304486,-0.792333,0.225875,-0.910977,0.453437,-1.51579,1.26873

m1xm5,syn,-0.220466,0.232229,-0.603599,0.169836,-0.844141,0.333498,-1.38158,0.799138

m1xm6,bsyn,-0.11566,0.271024,-0.547213,0.344683,-0.667144,0.486471,-1.45122,1.41538

m1xm6,syn,-0.0998226,0.236057,-0.466094,0.312819,-0.595555,0.473337,-1.14877,1.2374

m1xm7,bsyn,-0.071008,0.289153,-0.544269,0.40017,-0.672153,0.554072,-1.8208,1.38197

m1xm7,syn,-0.0522865,0.21682,-0.4093,0.307591,-0.599764,0.428023,-0.947036,0.96551

m1xm8,bsyn,-0.111208,0.275655,-0.553553,0.346456,-0.683184,0.494456,-1.71657,1.25036

m1xm8,syn,-0.0931616,0.228703,-0.469946,0.279998,-0.592209,0.444345,-1.45489,0.972332

m1xm9,bsyn,-0.0771702,0.284115,-0.52232,0.404237,-0.634244,0.561314,-1.28071,1.3599

m1xm9,syn,-0.0531427,0.224253,-0.401893,0.322532,-0.576225,0.546597,-1.00795,1.15975

m2xm10,bsyn,-0.0258282,0.261493,-0.461869,0.391736,-0.615913,0.504506,-1.31577,1.18783

m2xm10,syn,-0.0129913,0.215714,-0.378476,0.333366,-0.635821,0.453324,-1.00104,0.956647

m2xm11,bsyn,-0.0243924,0.297432,-0.492511,0.475365,-0.654977,0.615556,-1.42311,1.63838

m2xm11,syn,-0.00424507,0.242323,-0.391088,0.400845,-0.680165,0.497742,-0.93682,1.46493

m2xm12,bsyn,-0.0455091,0.253922,-0.480902,0.358974,-0.632956,0.490564,-1.23715,1.25778

m2xm12,syn,-0.038908,0.218847,-0.402248,0.320171,-0.577608,0.46395,-1.13153,0.949846

m2xm1,bsyn,0.0139193,0.278404,-0.478019,0.448221,-0.630941,0.560603,-1.45057,1.26992

m2xm1,syn,0.024352,0.23517,-0.380031,0.395994,-0.517952,0.658292,-1.26156,1.11687

m2xm3,bsyn,-0.064664,0.277458,-0.523795,0.394597,-0.665312,0.539607,-1.48603,1.30525

m2xm3,syn,-0.0481653,0.221643,-0.401244,0.325002,-0.58347,0.586641,-1.12778,0.879653

m2xm4,bsyn,0.00218937,0.277191,-0.448363,0.464565,-0.606044,0.587179,-1.12155,1.64176

m2xm4,syn,0.0166353,0.229724,-0.352694,0.397283,-0.474336,0.58755,-0.934431,1.35904

m2xm5,bsyn,-0.236652,0.301973,-0.747884,0.252948,-0.897922,0.412549,-1.57093,1.21897

m2xm5,syn,-0.208947,0.257847,-0.653675,0.208914,-0.776016,0.405355,-1.29315,1.03493

m2xm6,bsyn,-0.0764547,0.261817,-0.519716,0.347959,-0.663953,0.487705,-1.3841,1.18849

m2xm6,syn,-0.0644205,0.228768,-0.438861,0.312423,-0.567446,0.563665,-1.27499,0.982899

m2xm7,bsyn,-0.0265851,0.280509,-0.486599,0.44097,-0.631308,0.570606,-1.56338,1.18959

m2xm7,syn,-0.00733278,0.209883,-0.34658,0.343528,-0.694233,0.468879,-0.926228,0.947489

m2xm8,bsyn,-0.0742107,0.279801,-0.535026,0.382672,-0.680331,0.518965,-1.48542,1.35753

m2xm8,syn,-0.0594827,0.231601,-0.444542,0.315652,-0.632049,0.562739,-1.13474,1.08323

m2xm9,bsyn,-0.0585167,0.339401,-0.607068,0.492106,-0.737551,0.628003,-1.50436,1.53888

m2xm9,syn,-0.0302379,0.257902,-0.444496,0.383629,-0.598709,0.692308,-1.16629,1.33337

m3xm10,bsyn,-0.0255939,0.286727,-0.519711,0.42306,-0.664313,0.53656,-1.24179,1.47227

m3xm10,syn,-0.011339,0.212359,-0.384818,0.313172,-0.639526,0.414175,-1.05466,1.04704

m3xm11,bsyn,-0.0150912,0.30415,-0.51652,0.495278,-0.669695,0.635156,-1.23662,1.56108

m3xm11,syn,0.00430554,0.233947,-0.377807,0.393902,-0.568387,0.500007,-0.983838,1.42775

m3xm12,bsyn,-0.0520968,0.308068,-0.595695,0.424589,-0.744173,0.586017,-1.42037,1.38912

m3xm12,syn,-0.0436019,0.254425,-0.486868,0.348415,-0.70551,0.484635,-1.44446,1.23068

m3xm1,bsyn,0.0119858,0.293797,-0.489818,0.458964,-0.632965,0.575392,-1.69774,1.52311

m3xm1,syn,0.0219926,0.233176,-0.369193,0.389856,-0.514359,0.491922,-1.11752,1.28559

m3xm2,bsyn,0.00517034,0.288462,-0.484197,0.466862,-0.643727,0.594948,-1.28647,1.52055

m3xm2,syn,0.0178607,0.215177,-0.351803,0.351263,-0.580098,0.473239,-0.930003,1.04521

m3xm4,bsyn,0.00287003,0.281166,-0.475735,0.444787,-0.631612,0.571848,-1.39343,1.34677

m3xm4,syn,0.0176406,0.20404,-0.324112,0.335525,-0.657388,0.421547,-1.05905,1.05627

m3xm5,bsyn,-0.269828,0.309994,-0.819704,0.205492,-0.969676,0.396698,-1.57284,1.24531

m3xm5,syn,-0.205067,0.219684,-0.578791,0.144935,-0.990147,0.272398,-1.18774,0.944149

m3xm6,bsyn,-0.0834091,0.281976,-0.560682,0.373739,-0.679166,0.496931,-1.5168,1.28738

m3xm6,syn,-0.0686912,0.22254,-0.435482,0.298832,-0.654659,0.406969,-1.30546,1.13919

m3xm7,bsyn,0.00556385,0.291784,-0.481949,0.490708,-0.618866,0.621047,-1.37088,1.24931

m3xm7,syn,0.0165899,0.238783,-0.380838,0.411823,-0.605131,0.535151,-1.09607,1.29193

m3xm8,bsyn,-0.0696369,0.264016,-0.512369,0.352307,-0.644671,0.484107,-1.2866,1.56236

m3xm8,syn,-0.0570477,0.213326,-0.412207,0.282373,-0.597566,0.415195,-1.14722,1.40086

