SubjectID,Regularization,Mean,Sigma,5th%,95th%,5th%mean,95th%mean,Min,Max
m3xm9,bsyn,-0.0193838,0.291774,-0.503338,0.450795,-0.622741,0.588062,-1.29097,1.44962

m3xm9,syn,-0.000474928,0.240783,-0.39395,0.390412,-0.667251,0.545485,-1.17312,1.29862

m4xm10,bsyn,-0.0845177,0.28106,-0.573314,0.356215,-0.713321,0.491213,-1.3396,1.20611

m4xm10,syn,-0.0653797,0.211842,-0.432977,0.274397,-0.768761,0.357911,-1.34267,0.857797

m4xm11,bsyn,-0.0657499,0.285601,-0.530084,0.413465,-0.676052,0.559525,-1.28285,1.25045

m4xm11,syn,-0.0458974,0.231086,-0.429158,0.328187,-0.692049,0.43318,-1.196,1.19628

m4xm12,bsyn,-0.105808,0.310997,-0.624234,0.396406,-0.78136,0.569888,-1.76786,1.36315

m4xm12,syn,-0.0867873,0.227431,-0.479082,0.264833,-0.778389,0.387043,-1.39675,1.01745

m4xm1,bsyn,-0.0506845,0.307583,-0.584783,0.419997,-0.741104,0.539768,-1.60294,1.4853

m4xm1,syn,-0.0343193,0.24794,-0.457335,0.348821,-0.602189,0.451261,-1.42357,1.23159

m4xm2,bsyn,-0.0959661,0.299378,-0.611836,0.362753,-0.76033,0.513956,-1.80186,1.16225

m4xm2,syn,-0.0790169,0.234146,-0.480201,0.279741,-0.741289,0.382357,-1.47563,0.880497

m4xm3,bsyn,-0.0609824,0.262596,-0.48973,0.361536,-0.632844,0.504299,-1.37524,1.31017

m4xm3,syn,-0.0501137,0.219912,-0.406692,0.301578,-0.527831,0.484048,-1.19796,1.14295

m4xm5,bsyn,-0.338024,0.32665,-0.924981,0.151206,-1.10408,0.349874,-1.94753,0.927379

m4xm5,syn,-0.307533,0.271288,-0.784458,0.0997487,-0.942714,0.265927,-1.95107,0.832151

m4xm6,bsyn,-0.131537,0.305746,-0.658042,0.352396,-0.816924,0.476886,-1.7573,1.32074

m4xm6,syn,-0.112981,0.250608,-0.533211,0.286834,-0.662326,0.408073,-1.6021,1.05829

m4xm7,bsyn,-0.0441792,0.278659,-0.50922,0.416561,-0.628534,0.555666,-1.11323,1.38736

m4xm7,syn,-0.0249057,0.194233,-0.33921,0.294016,-0.601211,0.397428,-1.0624,0.864231

m4xm8,bsyn,-0.108926,0.2877,-0.580516,0.365691,-0.692208,0.50688,-1.26052,1.37325

m4xm8,syn,-0.0948289,0.241315,-0.497511,0.297694,-0.613103,0.453019,-1.17965,1.07664

m4xm9,bsyn,-0.0699859,0.284319,-0.561451,0.384225,-0.709999,0.516227,-1.25536,1.30894

m4xm9,syn,-0.0544607,0.237176,-0.450345,0.329264,-0.585699,0.467549,-1.25075,1.23022

m5xm10,bsyn,0.159164,0.327233,-0.41238,0.6728,-0.653302,0.817974,-1.35706,1.47867

m5xm10,syn,0.15557,0.266564,-0.289093,0.587775,-0.56126,0.717751,-0.98938,1.26598

m5xm11,bsyn,0.148357,0.313818,-0.367869,0.673546,-0.608662,0.819711,-1.01959,1.75912

m5xm11,syn,0.132177,0.277605,-0.31949,0.596475,-0.500239,0.713316,-0.943841,1.69589

m5xm12,bsyn,0.124445,0.320669,-0.418636,0.646478,-0.605368,0.778933,-1.42501,1.57537

m5xm12,syn,0.108992,0.270196,-0.368477,0.525547,-0.572194,0.62923,-1.20346,1.11976

m5xm1,bsyn,0.178791,0.304008,-0.341969,0.661197,-0.581883,0.770217,-1.25023,1.46527

m5xm1,syn,0.168246,0.266143,-0.29499,0.587222,-0.522144,0.690796,-1.06675,1.28553

m5xm2,bsyn,0.146932,0.321329,-0.389077,0.680212,-0.568209,0.824393,-1.33986,1.59483

m5xm2,syn,0.140126,0.234655,-0.253922,0.529519,-0.46267,0.619866,-0.915333,1.20427

m5xm3,bsyn,0.176755,0.277513,-0.264262,0.653061,-0.465187,0.77453,-1.2141,1.5173

m5xm3,syn,0.156031,0.254632,-0.262435,0.586926,-0.420662,0.740519,-1.0835,1.27167

m5xm4,bsyn,0.222137,0.289331,-0.23412,0.721262,-0.460869,0.872493,-0.924615,1.94466

m5xm4,syn,0.210075,0.244899,-0.173654,0.632173,-0.405116,0.746983,-0.738376,1.76592

m5xm6,bsyn,0.131779,0.285207,-0.324024,0.613559,-0.536633,0.73155,-1.059,1.66585

m5xm6,syn,0.125941,0.264546,-0.293252,0.582969,-0.513876,0.718028,-0.92742,1.60693

m5xm7,bsyn,0.151982,0.297258,-0.340454,0.650852,-0.545908,0.772921,-1.06211,1.79535

m5xm7,syn,0.14739,0.221544,-0.213488,0.521588,-0.468697,0.604385,-0.755673,1.1308

m5xm8,bsyn,0.144148,0.300918,-0.339164,0.656309,-0.54113,0.788047,-1.18447,1.44015

m5xm8,syn,0.147606,0.265538,-0.281168,0.590579,-0.454303,0.7556,-1.184,1.65642

m5xm9,bsyn,0.145056,0.308203,-0.35078,0.643692,-0.580922,0.771735,-1.66185,1.58688

m5xm9,syn,0.144025,0.271937,-0.285614,0.580943,-0.465038,0.788786,-1.24802,1.64122

m6xm10,bsyn,0.0187987,0.282239,-0.466411,0.456625,-0.627129,0.584481,-1.44725,1.63369

m6xm10,syn,0.0285172,0.226459,-0.365949,0.382514,-0.629398,0.472838,-1.09556,1.0097

m6xm11,bsyn,0.0145724,0.308253,-0.496954,0.530487,-0.639198,0.679758,-1.44128,1.55536

m6xm11,syn,0.0330868,0.23502,-0.352432,0.418602,-0.561613,0.522471,-1.06198,1.42625

m6xm12,bsyn,-0.0139801,0.303783,-0.540013,0.457973,-0.705391,0.624658,-1.38934,1.57873

m6xm12,syn,-0.00252572,0.24898,-0.436158,0.373186,-0.741163,0.499027,-1.18412,1.42473

m6xm1,bsyn,0.0501393,0.279563,-0.43402,0.476536,-0.584185,0.58682,-1.16587,1.6177

m6xm1,syn,0.0534375,0.227344,-0.352353,0.396524,-0.545924,0.477076,-1.069,0.920165

m6xm2,bsyn,0.016142,0.268269,-0.435019,0.445378,-0.567602,0.592595,-1.18301,1.41936

m6xm2,syn,0.0204818,0.229219,-0.369824,0.379328,-0.699051,0.492515,-1.15461,1.18432

m6xm3,bsyn,0.020652,0.276577,-0.447326,0.469998,-0.577795,0.595524,-1.26704,1.32315

m6xm3,syn,0.0300271,0.230216,-0.362097,0.404569,-0.488788,0.543606,-0.976111,1.35184

m6xm4,bsyn,0.0434291,0.281393,-0.425774,0.507466,-0.551621,0.640704,-1.12768,1.68433

m6xm4,syn,0.0519401,0.235138,-0.339793,0.431658,-0.57965,0.539993,-1.1162,1.43907

m6xm5,bsyn,-0.221326,0.327314,-0.806022,0.27278,-0.974191,0.466511,-1.78355,1.21666

m6xm5,syn,-0.187645,0.253907,-0.633683,0.20734,-1.02403,0.351659,-1.33425,0.773871

m6xm7,bsyn,0.0128238,0.297251,-0.488451,0.50159,-0.622424,0.641567,-1.22469,1.41678

m6xm7,syn,0.0189659,0.253333,-0.406466,0.430805,-0.604302,0.564746,-1.12368,1.17535

m6xm8,bsyn,-0.0254906,0.282119,-0.492182,0.442006,-0.614289,0.571582,-1.36176,1.29203

m6xm8,syn,-0.0164441,0.233973,-0.411681,0.366326,-0.518506,0.479201,-1.14894,1.13908

m6xm9,bsyn,-0.00327977,0.327183,-0.557489,0.519839,-0.699781,0.654046,-1.39176,1.48336

m6xm9,syn,0.0148785,0.258699,-0.418762,0.432762,-0.619882,0.581176,-1.1629,1.44328

m7xm10,bsyn,-0.0222101,0.281293,-0.510965,0.41781,-0.677691,0.537059,-1.45227,1.35537

m7xm10,syn,-0.0026428,0.224071,-0.374439,0.358374,-0.544734,0.533011,-1.05249,1.0854

m7xm11,bsyn,-0.00564941,0.288663,-0.480976,0.452618,-0.63008,0.600111,-1.3007,1.37437

m7xm11,syn,0.0112896,0.240323,-0.380359,0.403265,-0.58158,0.596653,-1.09765,1.20944

m7xm12,bsyn,-0.0537137,0.273931,-0.513957,0.381169,-0.661475,0.518446,-1.2551,1.41028

m7xm12,syn,-0.0447248,0.232106,-0.432326,0.328592,-0.653353,0.491633,-1.18653,1.27352

m7xm1,bsyn,0.00501274,0.258714,-0.437174,0.420766,-0.564304,0.535163,-0.988786,1.25885

m7xm1,syn,0.0162423,0.215121,-0.342519,0.362311,-0.472811,0.631761,-1.01193,1.14634

m7xm2,bsyn,-0.0372874,0.276865,-0.509399,0.397169,-0.626607,0.528024,-1.23843,1.47255

m7xm2,syn,-0.0246578,0.224839,-0.408279,0.333299,-0.557648,0.538256,-1.0097,0.950293

m7xm3,bsyn,-0.0644779,0.282014,-0.554747,0.388831,-0.699675,0.518842,-1.13699,1.36845

m7xm3,syn,-0.0535351,0.247535,-0.478961,0.342683,-0.678764,0.659554,-1.14799,1.1584

m7xm4,bsyn,-0.0157396,0.268392,-0.476693,0.411471,-0.605838,0.527494,-1.28778,1.09019

m7xm4,syn,-0.00893508,0.242033,-0.419348,0.370016,-0.558545,0.623411,-1.27944,1.0551

m7xm5,bsyn,-0.237648,0.302566,-0.751489,0.235494,-0.888113,0.407584,-1.948,1.02898

m7xm5,syn,-0.212252,0.24212,-0.640012,0.164734,-0.756212,0.411644,-1.33633,0.774913

m7xm6,bsyn,-0.0738777,0.273519,-0.525355,0.382567,-0.641834,0.521441,-1.18965,1.18348

m7xm6,syn,-0.0662897,0.253635,-0.483409,0.354419,-0.614422,0.672334,-1.14667,1.24602

m7xm8,bsyn,-0.065708,0.274346,-0.530821,0.373202,-0.672491,0.495812,-1.30148,1.09902

m7xm8,syn,-0.0572022,0.246413,-0.474922,0.337094,-0.611246,0.628819,-1.2499,1.10808

m7xm9,bsyn,-0.0554475,0.281888,-0.508433,0.408697,-0.630957,0.538271,-1.25633,1.30971

m7xm9,syn,-0.0465292,0.255237,-0.460734,0.369719,-0.630022,0.661478,-1.16209,1.21144

m8xm10,bsyn,0.0170355,0.281121,-0.478989,0.460982,-0.641228,0.592051,-1.44958,1.21514

m8xm10,syn,0.0277499,0.228399,-0.366831,0.384425,-0.652206,0.475502,-1.08333,1.04896

m8xm11,bsyn,0.0218795,0.260661,-0.389495,0.461924,-0.544186,0.601662,-1.05505,1.47337

m8xm11,syn,0.0313116,0.222421,-0.324673,0.397159,-0.567421,0.505728,-0.91689,1.2922

m8xm12,bsyn,-0.0177977,0.313238,-0.550022,0.483491,-0.719928,0.657581,-1.53894,1.37335

m8xm12,syn,-0.00675606,0.246714,-0.427645,0.381228,-0.731444,0.500903,-1.2532,1.2021

m8xm1,bsyn,0.0462528,0.283612,-0.44109,0.479185,-0.597127,0.599642,-1.31409,1.87532

m8xm1,syn,0.0519609,0.233716,-0.34209,0.425074,-0.547908,0.534228,-1.10825,1.34725

m8xm2,bsyn,0.0128067,0.286976,-0.471163,0.467082,-0.624456,0.627274,-1.38921,1.49238

m8xm2,syn,0.0188747,0.218553,-0.348448,0.366664,-0.684157,0.474795,-0.99785,1.34332

m8xm3,bsyn,0.0114025,0.274778,-0.442367,0.449207,-0.570662,0.567965,-1.51876,1.386

m8xm3,syn,0.0220912,0.21538,-0.330349,0.364542,-0.460386,0.519322,-1.48893,1.22424

m8xm4,bsyn,0.0344967,0.281178,-0.437908,0.489834,-0.566649,0.605154,-1.2138,1.23602

m8xm4,syn,0.045216,0.223874,-0.324046,0.413886,-0.599418,0.51765,-0.933544,1.11473

m8xm5,bsyn,-0.240757,0.331534,-0.83097,0.271413,-0.97748,0.464104,-1.6315,1.29354

m8xm5,syn,-0.197953,0.228519,-0.586157,0.158202,-0.970051,0.29869,-1.41096,0.847572

m8xm6,bsyn,-0.0491707,0.275256,-0.514933,0.392583,-0.643087,0.508344,-1.41625,1.28875

m8xm6,syn,-0.0347886,0.232575,-0.421528,0.347041,-0.58208,0.447613,-1.17076,1.13144

m8xm7,bsyn,0.000231859,0.291596,-0.480854,0.48777,-0.620216,0.651774,-1.19481,1.56951

m8xm7,syn,0.0115119,0.241145,-0.384018,0.410004,-0.571319,0.537582,-0.956215,1.39224

m8xm9,bsyn,-0.0100795,0.287862,-0.490205,0.442718,-0.647503,0.570681,-1.42946,1.43538

m8xm9,syn,0.000323544,0.249613,-0.417606,0.390642,-0.637357,0.564128,-1.2196,1.34781

m9xm10,bsyn,-0.0376708,0.293548,-0.54167,0.425835,-0.693408,0.54723,-1.15888,1.42498

m9xm10,syn,-0.020478,0.225365,-0.407592,0.327795,-0.719875,0.42276,-1.05498,0.932983

m9xm11,bsyn,-0.0139352,0.282155,-0.47081,0.459836,-0.631329,0.582927,-1.37839,1.52152

m9xm11,syn,-0.000703,0.221034,-0.35217,0.371891,-0.583695,0.489041,-1.0787,1.22426

m9xm12,bsyn,-0.0665359,0.319676,-0.603362,0.435692,-0.769456,0.610363,-1.51326,1.20382

m9xm12,syn,-0.0504794,0.273241,-0.524707,0.35939,-0.818017,0.493528,-1.38646,1.12833

m9xm1,bsyn,-0.00609637,0.303429,-0.546495,0.447274,-0.687832,0.556899,-1.47496,1.26764

m9xm1,syn,0.00420992,0.229286,-0.388362,0.348962,-0.704702,0.463054,-1.17289,0.892788

m9xm2,bsyn,-0.0572937,0.354108,-0.663147,0.48417,-0.842582,0.610863,-1.58535,1.48373

m9xm2,syn,-0.0324939,0.255779,-0.453869,0.360648,-0.785259,0.470374,-1.2745,1.12312

m9xm3,bsyn,-0.0680692,0.304712,-0.600225,0.402405,-0.757706,0.525386,-1.64713,1.23002

m9xm3,syn,-0.0580348,0.25959,-0.509631,0.342633,-0.735182,0.548842,-1.34392,1.15168

m9xm4,bsyn,-0.0152515,0.286765,-0.498785,0.454565,-0.643669,0.585052,-1.26648,1.18806

m9xm4,syn,-0.00491417,0.224626,-0.382446,0.353497,-0.618266,0.463996,-1.16671,1.12725

m9xm5,bsyn,-0.254821,0.328127,-0.810804,0.250241,-0.987141,0.456571,-1.81215,1.69361

m9xm5,syn,-0.220767,0.269978,-0.681228,0.18832,-1.0154,0.352777,-1.6894,1.14554

m9xm6,bsyn,-0.10187,0.34223,-0.678167,0.447644,-0.857452,0.589953,-1.60243,1.59866

m9xm6,syn,-0.0791807,0.271697,-0.532268,0.351531,-0.767413,0.492636,-1.46836,1.26023

m9xm7,bsyn,-0.0333434,0.323741,-0.582738,0.479088,-0.766963,0.6089,-1.39525,1.42908

m9xm7,syn,-0.0193775,0.26508,-0.467238,0.401781,-0.663827,0.543633,-1.15316,1.11759

m9xm8,bsyn,-0.0776641,0.313882,-0.607506,0.411748,-0.783236,0.565948,-1.53246,1.51164

m9xm8,syn,-0.0635898,0.259115,-0.489053,0.341753,-0.808445,0.51491,-1.37086,1.30515

