Subject,All,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133
m1,0.791892,0.901275,0.904233,0.89496,0.888544,0.832611,0.832242,0.846777,0.870404,0.778836,0.905784,0.43299,0.595376,0.857267,0.856376,0.865559,0.865104,0.838137,0.870397,0.795827,0.789357,0.847298,0.845342,0.888487,0.897445,0.756107,0.821918,0.788752,0.769415,0.5,0.363636,0.73074,0.723222,0.677954,0.766823,0.521814,0.524981,0.700192,0.738109,0.324294,0.367935,0.613672,0.702158,0.664289,0.623199,0.444504,0.369291,0.672207,0.660594,0.673149,0.669165,0.605834,0.61156,0.673359,0.582515,0.558504,0.577723,0.502122,0.371696,0.642625,0.548032,0.569722,0.552866,0.267508,0.1124,0.73536,0.718403,0.626263,0.552324,0.640967,0.508167,0.551646,0.628322,0.638692,0.582092,0.700109,0.688627,0.744756,0.635804,0.751202,0.686164,0.709264,0.459513,0.631124,0.476863,0.869849,0.861777,0.646568,0.67908,0.725034,0.712369,0.648541,0.707347,0.667477,0.633803,0.687244,0.734799,0.615713,0.598906,0.660249,0.746543,0.772542,0.563394,0.712908,0.425393,0.646269,0.360656,0.634236,0.316667,0.680452,0.682461,0.460644,0.481231,0.446401,0.731183,0.46942,0.585025,0.721444,0.69879,0.80543,0.810355,0.758932,0.790503,0.72635,0.76094,0.686011,0.431258,0.483736,0.651047,0.714424,0.785858,0
m10,0.779957,0.889174,0.901827,0.893472,0.88573,0.841193,0.843532,0.874199,0.889669,0.800519,0.903394,0.273743,0.448,0.809169,0.820665,0.840267,0.847233,0.822435,0.793833,0.765453,0.721159,0.848533,0.843951,0.883752,0.866684,0.793237,0.746458,0.714789,0.633588,0,0.545455,0.76851,0.758416,0.71473,0.47686,0.678932,0.480907,0.616917,0.515317,0.654386,0.473888,0.777064,0.686842,0.63925,0.443291,0.527254,0.209016,0.628394,0.619774,0.721176,0.741541,0.195761,0.344369,0.554469,0.461865,0.59558,0.37417,0.600248,0.363556,0.650351,0.529672,0.620285,0.580067,0.152711,0.0443131,0.683534,0.690714,0.651815,0.656,0.572539,0.163295,0.478723,0.49752,0.628288,0.456308,0.663554,0.445596,0.596396,0.401556,0.638514,0.644602,0.697968,0.505554,0.666318,0.403949,0.867761,0.859112,0.589666,0.348936,0.714869,0.683688,0.697418,0.625218,0.74536,0.699727,0.726198,0.742768,0.625743,0.538772,0.72547,0.741315,0.578961,0.508373,0.614814,0.559546,0.653882,0.489249,0.513951,0.477359,0.725863,0.732291,0.546721,0.574613,0.758645,0.766131,0.6573,0.582359,0.714415,0.607545,0.871303,0.80108,0.799198,0.814702,0.76235,0.783723,0.673484,0.614333,0.749482,0.767144,0.803215,0.809766,0
m11,0.745273,0.867284,0.889909,0.87293,0.878873,0.821311,0.860593,0.909624,0.902649,0.704985,0.899678,0.576029,0.388571,0.771044,0.824505,0.89125,0.88848,0.782419,0.755268,0.848712,0.47515,0.863235,0.882019,0.898627,0.864721,0.865848,0.808059,0.779285,0.822569,0.27907,0.62963,0.79702,0.704225,0.702557,0.661244,0.5517,0.473101,0.678588,0.633521,0.451803,0.347118,0.438613,0.44665,0.62755,0.580809,0.4421,0.363295,0.475285,0.434791,0.588584,0.591854,0.637139,0.479285,0.480553,0.521966,0.551326,0.616846,0.400381,0.24372,0.449325,0.587285,0.444304,0.358863,0.291657,0.458194,0.6334,0.614392,0.503327,0.56456,0.195308,0.232753,0.146304,0.332588,0.52606,0.566552,0.534559,0.542909,0.672077,0.638264,0.578015,0.593444,0.492864,0.442651,0.614666,0.583306,0.713425,0.728041,0.367548,0.00264201,0.46997,0.533514,0.523392,0.596756,0.597234,0.671657,0.709557,0.743209,0.622136,0.652283,0.726124,0.499035,0.482134,0.432604,0.466879,0.379739,0.433955,0.663246,0.462628,0.572522,0.661161,0.715396,0.391892,0.482024,0.673985,0.369272,0.33104,0.497111,0.0121126,0.289762,0.818628,0.844664,0.770444,0.773956,0.555334,0.608442,0.37756,0.470624,0.694138,0.619444,0.719193,0.752983,0
m12,0.784879,0.895125,0.894065,0.88978,0.888909,0.831677,0.827627,0.835451,0.82037,0.776471,0.897566,0.516934,0.55935,0.822731,0.807453,0.876539,0.875442,0.821962,0.822882,0.701987,0.672963,0.858905,0.843489,0.907655,0.90045,0.803485,0.713519,0.741096,0.748496,0.222222,0,0.735146,0.785877,0.771859,0.621348,0.640642,0.597245,0.474799,0.561033,0.496889,0.54259,0.749755,0.661198,0.482147,0.485744,0.436142,0.404005,0.685815,0.566216,0.665998,0.701116,0.503791,0.502612,0.50374,0.602667,0.60836,0.561437,0.545948,0.41276,0.564331,0.6094,0.654528,0.626057,0.386252,0.472587,0.6372,0.675559,0.634303,0.682394,0.581011,0.593811,0.554577,0.606801,0.692257,0.666667,0.754085,0.687698,0.751857,0.726604,0.605863,0.623713,0.652793,0.70413,0.725219,0.7201,0.846092,0.847226,0.652083,0.691622,0.717886,0.699968,0.73563,0.744244,0.668569,0.643414,0.513062,0.610033,0.630725,0.631834,0.702315,0.73017,0.758313,0.736491,0.671953,0.679367,0.626352,0.640207,0.619261,0.599519,0.358366,0.524285,0.478239,0.574051,0.766162,0.736385,0.545622,0.728326,0.710225,0.668435,0.846615,0.851889,0.789964,0.775819,0.768429,0.800166,0.577924,0.602241,0.698962,0.697878,0.798059,0.84266,0
m2,0.770206,0.858109,0.86273,0.875682,0.875745,0.790755,0.793096,0.796848,0.76936,0.534808,0.911284,0.518519,0.61875,0.791767,0.814489,0.901691,0.895487,0.841282,0.847351,0.75,0.802281,0.858466,0.81769,0.89035,0.887623,0.768973,0.758774,0.725436,0.740285,0.421053,0,0.766136,0.722764,0.641161,0.727615,0.456481,0.581524,0.761421,0.702057,0.427083,0.517357,0.761856,0.565817,0.701916,0.566638,0.585659,0.443626,0.555085,0.451312,0.670701,0.74789,0.659234,0.499274,0.589948,0.587706,0.65255,0.502172,0.544276,0.419045,0.548912,0.498053,0.551059,0.61426,0.186203,0.257243,0.646498,0.737054,0.540212,0.64816,0.522415,0.423529,0.62789,0.554348,0.778171,0.565272,0.793055,0.548859,0.753821,0.625441,0.467366,0.613672,0.71538,0.617075,0.673207,0.664532,0.85362,0.860515,0.675482,0.68701,0.670397,0.722861,0.750256,0.729915,0.73327,0.680867,0.669127,0.671195,0.556885,0.786748,0.658528,0.570989,0.552159,0.576347,0.419421,0.519848,0.638244,0.56146,0.409639,0.48159,0.574923,0.531497,0.643817,0.6711,0.528864,0.472963,0.479297,0.296216,0.752329,0.606864,0.800657,0.833081,0.715576,0.744831,0.761911,0.773791,0.43313,0.272221,0.743956,0.709077,0.77933,0.80939,0
m3,0.785102,0.869038,0.883399,0.888673,0.884764,0.797306,0.818762,0.87132,0.873909,0.739411,0.913059,0.309305,0.397661,0.813784,0.832665,0.878306,0.881898,0.854553,0.856087,0.841948,0.82323,0.869258,0.846119,0.87425,0.903136,0.832612,0.812284,0.740625,0.730124,0.571429,0.626866,0.790157,0.765921,0.75111,0.704867,0.565415,0.522915,0.736177,0.652644,0.576614,0.489274,0.71439,0.622239,0.645625,0.603012,0.300106,0.350936,0.612509,0.6232,0.689368,0.731619,0.586803,0.537739,0.486297,0.470716,0.581481,0.729236,0.222368,0.585232,0.537213,0.681217,0.589359,0.537572,0.032345,0.388239,0.70943,0.753947,0.626263,0.635635,0.492381,0.50767,0.533469,0.424074,0.651991,0.477084,0.62489,0.633183,0.701504,0.633112,0.728165,0.750827,0.637608,0.610529,0.580059,0.59123,0.855028,0.866934,0.594914,0.410448,0.71422,0.585492,0.684626,0.677909,0.736629,0.72454,0.730452,0.691176,0.645102,0.726233,0.749573,0.764534,0.673892,0.391368,0.697918,0.308851,0.645464,0.315045,0.582827,0.203869,0.688079,0.626632,0.640569,0.683802,0.7403,0.743785,0.564862,0.478168,0.613842,0.643792,0.849355,0.807895,0.781618,0.720088,0.718805,0.583008,0.362921,0.285223,0.757463,0.662456,0.76785,0.734868,0
m4,0.791951,0.887068,0.895132,0.883081,0.883515,0.810774,0.808473,0.903531,0.890892,0.725044,0.911889,0.365591,0.55308,0.830468,0.803507,0.8795,0.89795,0.833997,0.848453,0.718821,0.448578,0.850137,0.8407,0.861876,0.875177,0.706103,0.724043,0.732798,0.723817,0.357143,0.447059,0.712662,0.660345,0.74785,0.754478,0.575039,0.549807,0.749657,0.730795,0.606061,0.498318,0.735903,0.662291,0.578448,0.686804,0.423884,0.578025,0.612919,0.683222,0.705787,0.700352,0.748753,0.625061,0.581769,0.450148,0.569543,0.667293,0.592571,0.615944,0.559751,0.698295,0.659113,0.589065,0.432848,0.462872,0.649641,0.657738,0.660017,0.619969,0.646579,0.61224,0.504605,0.448766,0.624121,0.59861,0.672026,0.631521,0.612322,0.670572,0.725144,0.70404,0.640279,0.634119,0.590417,0.668724,0.83938,0.846232,0.539428,0.64749,0.705854,0.725577,0.700347,0.73729,0.675767,0.63775,0.652762,0.727302,0.711111,0.732468,0.685579,0.753303,0.604271,0.696833,0.60198,0.647874,0.547077,0.509618,0.523511,0.476276,0.700456,0.618658,0.627231,0.663636,0.522598,0.735675,0.571834,0.698323,0.643405,0.630514,0.811741,0.806306,0.78793,0.724001,0.735963,0.746928,0.344991,0.464715,0.57508,0.728776,0.749751,0.797497,0
m5,0.762595,0.857945,0.854881,0.863878,0.867296,0.811468,0.805247,0.857971,0.798127,0.747913,0.892662,0.505051,0.575569,0.755314,0.765534,0.79341,0.817838,0.729256,0.739974,0.745679,0.766917,0.835122,0.768795,0.865967,0.872857,0.820831,0.772981,0.765679,0.72496,0.545455,0.55914,0.652903,0.694075,0.554184,0.553175,0.57078,0.526612,0.600762,0.603057,0.411074,0.531778,0.629689,0.651171,0.566402,0.604257,0.495648,0.624421,0.650609,0.639035,0.64253,0.6826,0.482368,0.315241,0.41479,0.440629,0.409671,0.614206,0.56372,0.57336,0.450612,0.563447,0.531751,0.524465,0.455696,0.480718,0.726313,0.706609,0.532188,0.579637,0.656163,0.566265,0.67786,0.592277,0.649262,0.613704,0.649351,0.638046,0.690256,0.591691,0.733619,0.621406,0.703836,0,0.712498,0.48219,0.838498,0.818255,0.481303,0.508811,0.684829,0.684924,0.661193,0.581365,0.667738,0.628699,0.658929,0.670692,0.622019,0.65299,0.719231,0.77337,0.707757,0.666667,0.706226,0.539485,0.631548,0.606061,0.633312,0.497917,0.676564,0.672687,0.534289,0.60917,0.760486,0.694697,0.166043,0.260314,0.530208,0.289303,0.840441,0.77101,0.722003,0.728767,0.75013,0.79358,0.448392,0.567226,0.636479,0.680073,0.770333,0.776211,0
m6,0.734071,0.876525,0.867944,0.871891,0.874456,0.807917,0.774779,0.815609,0.81427,0.749907,0.881021,0.181818,0.459519,0.726218,0.75887,0.83658,0.815217,0.710684,0.705608,0.427861,0,0.834405,0.817529,0.8496,0.855479,0.683885,0.600218,0.697485,0.653816,0.189189,0.205128,0.689434,0.702842,0.515465,0.623029,0.329802,0.484041,0.58852,0.574767,0.441902,0.395701,0.465738,0.461676,0.430199,0.450968,0.0148728,0.0589812,0.628826,0.543464,0.691884,0.645549,0.529923,0.244335,0.268477,0.25,0.34797,0.459335,0.349839,0.487365,0.296536,0.426771,0.519889,0.53679,0.418314,0,0.707472,0.716153,0.446083,0.49952,0.625522,0.513674,0.609139,0.45806,0.533737,0.675222,0.439107,0.661605,0.595557,0.671747,0.607981,0.600041,0.445698,0.516941,0.591083,0.634156,0.814888,0.819941,0.528163,0.533597,0.63464,0.702036,0.686393,0.565153,0.511742,0.526449,0.64163,0.669964,0.323022,0.522762,0.721497,0.601567,0.63324,0.652852,0.620129,0.486072,0.502838,0.427261,0.555692,0.369927,0.566349,0.680252,0.134015,0.207101,0.648664,0.412652,0.279928,0.442795,0.437773,0.397328,0.72581,0.775363,0.715119,0.718539,0.660415,0.681664,0.365908,0.486505,0.704746,0.551915,0.727398,0.746057,0
m7,0.770373,0.885577,0.889013,0.872185,0.872981,0.797841,0.782741,0.877469,0.874825,0.768537,0.909129,0.474227,0.45,0.82283,0.814915,0.871385,0.889379,0.818975,0.839978,0.796947,0.661409,0.845065,0.830753,0.891341,0.888139,0.776093,0.771292,0.75198,0.706294,0.142857,0,0.745024,0.731868,0.772052,0.680331,0.56073,0.648008,0.573049,0.518553,0.560493,0.597282,0.735299,0.713303,0.606992,0.537502,0.563581,0.460725,0.658521,0.640373,0.708652,0.729634,0.411983,0.4769,0.419197,0.407691,0.560024,0.443553,0.548754,0.52119,0.514874,0.610334,0.6429,0.538493,0.386108,0.375462,0.729932,0.719247,0.626131,0.645967,0.622909,0.378324,0.662478,0.346163,0.693255,0.591841,0.627231,0.618191,0.65865,0.612952,0.680573,0.676481,0.702773,0.618667,0.643408,0.649726,0.860281,0.868345,0.712113,0.592463,0.772391,0.716636,0.771319,0.622965,0.672303,0.625113,0.624597,0.746777,0.635835,0.668561,0.731483,0.735674,0.73319,0.731707,0.726722,0.609193,0.723247,0.476281,0.628555,0.463912,0.628628,0.749645,0.675447,0.683633,0.759524,0.721751,0.474677,0.545424,0.628557,0.692048,0.824937,0.817273,0.766629,0.74841,0.702172,0.776948,0.0617712,0.546114,0.671151,0.68196,0.744613,0.835812,0
m8,0.789477,0.895031,0.892119,0.885506,0.885695,0.840345,0.84064,0.870615,0.882726,0.72937,0.909964,0.560847,0.228571,0.82505,0.804044,0.889646,0.886355,0.814913,0.817948,0.832154,0.726471,0.801959,0.802348,0.892174,0.908183,0.825219,0.82904,0.796875,0.741316,0.521739,0.421053,0.769702,0.809006,0.739621,0.723342,0.533718,0.490852,0.693054,0.627607,0.465254,0.409696,0.634763,0.670249,0.708942,0.668283,0.428431,0.57398,0.612188,0.708768,0.677941,0.660809,0.549059,0.592205,0.574418,0.581492,0.604028,0.654213,0.470588,0.521192,0.524756,0.578588,0.588831,0.599434,0.376084,0.476279,0.713972,0.679761,0.652496,0.667978,0.666667,0.621662,0.612609,0.674727,0.666923,0.666176,0.572047,0.726881,0.579973,0.70917,0.629734,0.618355,0.563449,0.544391,0.46436,0.664556,0.855706,0.822582,0.476943,0.616387,0.651767,0.653091,0.716673,0.681688,0.70843,0.693634,0.707499,0.738727,0.507463,0.669266,0.620056,0.69627,0.487459,0.732161,0.614639,0.7019,0.570926,0.644562,0.604867,0.553866,0.710578,0.725478,0.597781,0.616878,0.638179,0.567132,0.54068,0.660638,0.766318,0.664839,0.832669,0.822612,0.756833,0.738448,0.735626,0.742825,0.47191,0.567888,0.633614,0.537497,0.788449,0.818411,0
m9,0.76987,0.894928,0.893442,0.875392,0.880275,0.827776,0.82357,0.926137,0.927702,0.750368,0.896275,0.307692,0.484848,0.800272,0.832296,0.848726,0.862342,0.79096,0.831415,0.887034,0.669666,0.880952,0.869058,0.873863,0.889465,0.803167,0.753586,0.683136,0.722689,0.52459,0.551724,0.748549,0.739417,0.609816,0.646254,0.436842,0.344433,0.597868,0.571914,0.523077,0.147491,0.663173,0.19552,0.664097,0.574515,0.510776,0.411551,0.639953,0.489192,0.651827,0.646848,0.521647,0.593915,0.381624,0.48754,0.575348,0.574835,0.516412,0.528055,0.596189,0.497217,0.557163,0.552703,0.273164,0.156357,0.704756,0.665219,0.653936,0.636511,0.592124,0.254857,0.644157,0.450872,0.610012,0.62698,0.7231,0.594474,0.696742,0.60061,0.671432,0.700627,0.5946,0.521673,0.670017,0.5195,0.835744,0.837602,0.466385,0.568849,0.630559,0.688562,0.680904,0.632193,0.606104,0.603442,0.605207,0.735794,0.53012,0.609888,0.535427,0.703987,0.587269,0.600212,0.539315,0.634392,0.429418,0.286599,0.477834,0.409917,0.648591,0.734118,0.662774,0.670228,0.456096,0.633871,0.4962,0.453542,0.462014,0.494841,0.750461,0.809482,0.712736,0.75334,0.712696,0.67311,0.56,0.660161,0.497031,0.591543,0.704883,0.758607,0
